channel_age,subscriber_count,total_videos,total_views,average_likes,average_comments,average_shares,upload_frequency,video_quality_score,social_media_followers,content_type,target_audience_age_group,target_audience_interests,advertising_spend,predicted_views,predicted_likes,predicted_comments,view_growth_rate
1,5000,50,100000,800,200,100,Weekly,7,6000,Educational,13-17,Technology,2000,105000,850,210,0.05
2,8000,70,150000,1200,300,150,Monthly,8,9000,Lifestyle,18-24,Travel,3000,155000,1250,320,0.04
3,10000,100,200000,1500,350,200,Monthly,7,12000,Tech,19-25,Health,4000,205000,1600,350,0.06
4,6000,30,80000,600,150,75,Daily,6,7000,Review,13-17,Entertainment,1000,82000,620,160,0.03
5,9000,50,120000,1000,250,125,Weekly,7,8000,Tutorial,16-20,Education,1500,125000,1050,270,0.04
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,History,2500,155000,2100,430,0.05
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Current Affairs,3000,185000,2600,550,0.06
8,10000,40,90000,700,200,100,Daily,6,8000,Music,13-18,Pop,1200,92000,750,210,0.03
9,5000,25,50000,400,100,50,Monthly,5,4000,DIY,16-22,Home Improvement,800,51000,420,120,0.02
10,7000,35,70000,800,150,75,Weekly,6,6000,Health,15-20,Fitness,1500,72000,850,180,0.04
11,3000,20,40000,300,75,40,Daily,5,2500,Gaming,13-18,Strategy,600,41000,320,90,0.05
12,9000,45,90000,1000,250,125,Monthly,7,7000,Science,16-20,Research,2000,91000,1050,230,0.03
13,11000,60,120000,1500,350,150,Weekly,8,9000,Food,18-24,Cooking,2500,122000,1550,270,0.06
14,8000,30,60000,600,150,75,Weekly,6,6500,Travel,13-17,Adventure,1200,62000,620,160,0.04
15,7000,40,75000,800,200,100,Bi-weekly,7,6000,Technology,16-22,Tech Reviews,1500,76000,850,190,0.05
16,9000,50,85000,1000,250,125,Weekly,7,7000,Automotive,18-24,Car Reviews,2000,86000,1050,210,0.03
17,6000,25,50000,500,120,60,Monthly,6,5000,Educational,13-18,Language Learning,1200,51000,520,140,0.02
18,8000,40,60000,800,200,100,Weekly,7,6000,Fashion,16-22,Style,1500,61000,850,190,0.04
19,7000,30,55000,700,175,90,Bi-weekly,6,5500,Health,13-20,Wellness,1300,56000,720,170,0.05
20,9000,50,70000,900,225,110,Monthly,7,6500,Personal Vlogs,18-24,Daily Life,2000,71000,950,220,0.03



1,5000,50,100000,800,200,100,Weekly,7,6000,Educational,13-17,Technology,2000,105000,850,210,0.05
2,6000,60,120000,850,220,110,Weekly,7,7000,Educational,13-17,Health,2500,110000,900,230,0.07
3,5500,55,110000,820,210,105,Weekly,7,6500,Educational,13-17,Education,2200,107000,870,215,0.06
4,7000,65,130000,900,230,115,Weekly,7,7500,Educational,18-24,Technology,3000,115000,950,250,0.08
5,6200,58,115000,860,215,108,Weekly,7,6800,Educational,18-24,Health,2700,112000,920,240,0.07
6,6800,62,125000,880,225,112,Weekly,7,7000,Educational,18-24,Education,2900,118000,940,260,0.08
7,5000,53,105000,790,195,95,Weekly,7,6200,Educational,25-34,Technology,2500,103000,830,200,0.06
8,6500,63,120000,870,220,110,Weekly,7,7100,Educational,25-34,Health,2800,110000,900,225,0.07
9,6000,60,110000,860,210,105,Weekly,7,7000,Educational,25-34,Education,2700,108000,880,210,0.06
10,7200,70,135000,920,240,120,Weekly,7,7500,Educational,35-44,Technology,3200,125000,970,270,0.09
11,5800,57,112000,840,215,107,Weekly,7,6900,Educational,35-44,Health,2900,114000,930,250,0.08
12,6400,61,118000,860,220,110,Weekly,7,7100,Educational,35-44,Education,3100,120000,940,260,0.09



1,5000,50,100000,800,200,100,Weekly,7,6000,Entertainment,13-17,Movies,2000,105000,850,210,0.05
2,5500,55,105000,820,210,110,Weekly,7,6200,Entertainment,13-17,Music,2200,108000,870,215,0.06
3,5300,52,98000,780,190,95,Weekly,7,5800,Entertainment,13-17,Games,2100,103000,840,205,0.04
4,6000,60,110000,850,230,115,Weekly,7,6700,Entertainment,18-24,Movies,2500,112000,900,225,0.07
5,5800,57,105000,830,220,105,Weekly,7,6400,Entertainment,18-24,Music,2400,110000,880,220,0.06
6,6200,62,115000,860,240,120,Weekly,7,6900,Entertainment,18-24,Games,2600,115000,920,230,0.08
7,5400,54,98000,800,210,100,Weekly,7,6000,Entertainment,25-34,Movies,2200,106000,860,215,0.05
8,5900,58,100000,820,220,105,Weekly,7,6300,Entertainment,25-34,Music,2300,110000,880,225,0.06
9,5600,56,97000,790,200,95,Weekly,7,6100,Entertainment,25-34,Games,2100,104000,850,205,0.04
10,6400,65,120000,880,250,125,Weekly,7,7200,Entertainment,35-44,Movies,2700,120000,950,240,0.08
11,6000,60,115000,860,240,115,Weekly,7,6800,Entertainment,35-44,Music,2600,115000,940,230,0.07
12,6200,63,118000,870,245,120,Weekly,7,6900,Entertainment,35-44,Games,2700,117000,950,235,0.08





3,10000,100,200000,1500,350,200,Monthly,7,12000,Tech,19-25,Health,4000,205000,1600,350,0.06
4,10500,105,210000,1550,360,210,Monthly,7,12500,Tech,19-25,Education,4200,210000,1650,355,0.07
5,11000,110,220000,1600,370,220,Monthly,7,13000,Tech,26-35,Health,4400,215000,1700,360,0.08
6,11500,115,230000,1650,380,230,Monthly,7,13500,Tech,26-35,Education,4600,220000,1750,365,0.09
7,12000,120,240000,1700,390,240,Monthly,7,14000,Tech,36-45,Health,4800,225000,1800,370,0.10
8,12500,125,250000,1750,400,250,Monthly,7,14500,Tech,36-45,Education,5000,230000,1850,375,0.11
9,13000,130,260000,1800,410,260,Monthly,7,15000,Tech,46-55,Health,5200,235000,1900,380,0.12
10,13500,135,270000,1850,420,270,Monthly,7,15500,Tech,46-55,Education,5400,240000,1950,385,0.13
11,14000,140,280000,1900,430,280,Monthly,7,16000,Tech,56-65,Health,5600,245000,2000,390,0.14
12,14500,145,290000,1950,440,290,Monthly,7,16500,Tech,56-65,Education,5800,250000,2050,395,0.15



4,6000,30,80000,600,150,75,Daily,6,7000,Review,13-17,Entertainment,1000,82000,620,160,0.03
5,6500,32,85000,650,160,80,Daily,6,7500,Review,13-17,Education,1100,85000,640,165,0.04
6,7000,34,90000,700,170,85,Daily,6,8000,Review,18-24,Entertainment,1200,88000,660,170,0.05
7,7500,36,95000,750,180,90,Daily,6,8500,Review,18-24,Education,1300,91000,680,175,0.06
8,8000,38,100000,800,190,95,Daily,6,9000,Review,25-34,Entertainment,1400,94000,700,180,0.07
9,8500,40,105000,850,200,100,Daily,6,9500,Review,25-34,Education,1500,97000,720,185,0.08
10,9000,42,110000,900,210,105,Daily,6,10000,Review,35-44,Entertainment,1600,100000,740,190,0.09
11,9500,44,115000,950,220,110,Daily,6,10500,Review,35-44,Education,1700,103000,760,195,0.10
12,10000,46,120000,1000,230,115,Daily,6,11000,Review,45-54,Entertainment,1800,106000,780,200,0.11
13,10500,48,125000,1050,240,120,Daily,6,11500,Review,45-54,Education,1900,109000,800,205,0.12




5,9000,50,120000,1000,250,125,Weekly,7,8000,Tutorial,16-20,Education,1500,125000,1050,270,0.04
6,9500,52,125000,1050,260,130,Weekly,7,8500,Tutorial,16-20,Technology,1600,130000,1100,280,0.05
7,10000,54,130000,1100,270,135,Weekly,7,9000,Tutorial,21-25,Education,1700,135000,1150,290,0.06
8,10500,56,135000,1150,280,140,Weekly,7,9500,Tutorial,21-25,Technology,1800,140000,1200,300,0.07
9,11000,58,140000,1200,290,145,Weekly,7,10000,Tutorial,26-30,Education,1900,145000,1250,310,0.08
10,11500,60,145000,1250,300,150,Weekly,7,10500,Tutorial,26-30,Technology,2000,150000,1300,320,0.09
11,12000,62,150000,1300,310,155,Weekly,7,11000,Tutorial,31-35,Education,2100,155000,1350,330,0.10
12,12500,64,155000,1350,320,160,Weekly,7,11500,Tutorial,31-35,Technology,2200,160000,1400,340,0.11
13,13000,66,160000,1400,330,165,Weekly,7,12000,Tutorial,36-40,Education,2300,165000,1450,350,0.12
14,13500,68,165000,1450,340,170,Weekly,7,12500,Tutorial,36-40,Technology,2400,170000,1500,360,0.13


6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Geography,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Science,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Archaeology,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Anthropology,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Sociology,2500,155000,2100,430,0.05



7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,International Relations,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Politics,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Economics,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Technology,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Climate Change,3000,185000,2600,550,0.06
